"","(Intercept)","dbh","log(dbh)","cr","bal","sqrt(ba)","interval"
"ash",0.545812969655683,0.184642621896602,-1.46715032947045,-0.0800540679678791,0.00644734184190934,-0.129842690962732,0.270516285610668
"aspen",0.470501437366191,0.21300077137298,-1.42218902272991,-0.0640623903900469,0.0099270265776683,-0.176310529312296,0.396629389880732
"basswood",2.74683699940554,0.278731209831309,-1.96026259552622,-0.089119257775497,0.00990356102142696,-0.232871560362648,0.098653154307516
"beech",-0.466049855864364,0.116921488979123,-0.619213157828217,-0.0574612519890167,-0.000445665580416724,0.033017304924234,0.07202713766373
"black cherry",1.13873418390315,0.0521995106123746,-1.31967590363699,-0.0705582567362186,0.000384634137299652,-0.0138630665861113,0.175488700437307
"butternut",3.52631318751745,0.235076700906334,-1.19234163512042,-0.0797578267499506,0.0177527791995075,-0.212307334962473,-0.0551118398815472
"cedar",0.753354063039038,0.225474618220784,-1.19621312873107,-0.072501130314407,0.00539751414469605,-0.15369757083084,0.137321392730581
"cottonwood",-35.4275295794749,-0.567884759871779,10.9789057471958,-0.481607490427296,0.00268933753188745,-1.17600166593012,8.08789811596158
"elm",-2.43287679594097,0.0587966306175585,0.27451934149489,-0.00886570088797883,0.000865018801606225,-0.0723503716238931,0.292379558489115
"fir",-0.149656104423371,0.450999202091764,-1.22971091444146,-0.0544959020380318,0.00894575219726478,-0.15912605424606,0.158527981130513
"hard maple",-0.11506762521921,0.180413750866881,-1.48172187526011,-0.0842055576911208,0.00369664372060124,-0.0303708101748612,0.26365894248523
"hemlock",-1.74849584049664,0.152733908745577,-1.36952324353426,-0.0572491527764756,0.00183663032084909,-0.0745030254954278,0.503895366916525
"hickory",-2.0989269827054,0.269744074552996,-1.33897346066419,-0.0586739148745575,0.0103578888426501,-0.19105197148225,0.523107063540358
"hophornbeam",-2.91258562417421,0.212520744467048,-1.32554364163775,-0.0647205346235156,-0.00332905476284787,0.179146431425782,0.432270086845783
"norway spruce",5.17794841939423,-0.0584098017123277,-1.85012898028164,-0.139580786808534,-0.000283060425610859,-0.176826062763691,0.48547819083765
"other hardwood",0.719617730743383,-0.00112219054617282,-0.322283434806458,-0.0513789968342607,0.00596517973054278,-0.116612830140092,0.206569129322552
"other softwood",-10.2021325652426,-0.432804823660989,0.518102448884071,-0.0264317645349539,0.0374326224214232,-0.613844873467404,2.95165008348918
"paper birch",0.717297014510581,0.258872917088746,-1.29232848156039,-0.0876830750351361,0.00431525375295731,-0.127483762544842,0.305902425349902
"red oak",0.542758987037235,0.267531136293289,-2.41000237946259,-0.111741014413125,0.00971483834836846,-0.169348091651557,0.551096426527315
"red pine",2.25747507627547,-0.0682408036649447,-2.90832779414664,-0.0632797978348267,-0.0105829422621379,0.256623460604399,0.168186188405646
"scots pine",1.37400722172606,-0.580464840807285,1.3283451114011,-0.0555350699857249,0.00131618848530612,-0.129051843319162,0.323314883974303
"soft maple",0.025901011677378,0.21181567100684,-1.49429168187006,-0.0853355357744062,0.00510270885004973,-0.0940630533110988,0.330676482140203
"spruce",0.910474212422817,0.21383024122394,-1.25907028706144,-0.0564744222852246,0.00561043270795297,-0.126634041709266,0.0172878556308558
"striped maple",-0.241576303887636,0.145771696772724,0.030987406099831,-0.0566200677364329,0.00781210150937795,-0.126752976822788,0.256150130397396
"tamarack",-4.80142164596868,0.237774666440717,-0.996774938196454,-0.0288409628557814,0.00503653507650784,-0.0857247146285504,0.900693919177425
"white oak",-1.34222588219424,0.182110067224997,-1.85836037026037,-0.0870239924318022,0.0107420854600697,0.0496326508832494,0.444639253363051
"white pine",-1.15185822139858,-0.016874041180982,-0.948110988930494,-0.0499896585793743,0.00560120782182404,-0.0848875955863983,0.495596690063223
"yellow birch",0.148049458223645,0.127870790144771,-1.07644242961474,-0.0672450052540629,0.00282860962277945,-0.0800144736640035,0.22935352087957
